country,country_code,year,region,population,gdp_per_capita,health_expenditure_per_capita,child_mortality_rate
Guinea,GIN,2019,Africa,13034349.0,3557.4624,126.989914,10.536412
Guinea-Bissau,GNB,2019,Africa,1967704.0,2442.2588,149.55164,7.9452877
Guyana,GUY,2019,South America,807668.0,13402.422,649.2465,2.9559457
Haiti,HTI,2019,North America,11105165.0,3361.7532,124.6594,6.1472816
Honduras,HND,2019,North America,9943637.0,6264.019,424.7971,1.765592
Hungary,HUN,2019,Europe,9770346.0,37662.676,2224.3042,0.413634
Iceland,ISL,2019,Europe,360709.0,65994.984,5227.257,0.27697825
India,IND,2019,Asia,1389030307.0,7702.1763,211.16661,3.4860835
Indonesia,IDN,2019,Asia,272489381.0,12757.785,345.046,2.1783395
Iran,IRN,2019,Asia,87051649.0,14841.075,832.1758,1.3395333
Iraq,IRQ,2019,Asia,41192172.0,14910.225,522.044,2.56829
Ireland,IRL,2019,Europe,4933493.0,96205.8,6135.1733,0.34344512
Israel,ISR,2019,Asia,8657466.0,44492.12,3114.7485,0.35762864
Italy,ITA,2019,Europe,60130136.0,49690.63,4014.2087,0.30790678
Jamaica,JAM,2019,North America,2823275.0,10816.372,702.7669,1.8772887
Japan,JPN,2019,Asia,126699421.0,46055.35,4679.332,0.24563278
Jordan,JOR,2019,Asia,10671893.0,10168.358,666.8633,1.4898053
Kazakhstan,KAZ,2019,Asia,19209556.0,33298.21,799.70105,1.0211991
Kenya,KEN,2019,Africa,51202829.0,5171.7124,204.77971,4.270811
Kiribati,KIR,2019,Oceania,123928.0,2926.5938,280.75992,5.91153
Kuwait,KWT,2019,Asia,4442201.0,51380.645,2627.5315,0.88655853
Kyrgyzstan,KGZ,2019,Asia,6494036.0,6087.602,229.01677,1.8303978
Laos,LAO,2019,Asia,7237635.0,8075.275,202.09016,3.6496234
Latvia,LVA,2019,Europe,1914267.0,35208.195,2202.676,0.39104542
Lebanon,LBN,2019,Asia,5794601.0,15659.566,1887.4459,1.4479833
Lesotho,LSO,2019,Africa,2209414.0,2773.2864,560.02954,6.811405
Liberia,LBR,2019,Africa,5043719.0,1575.7666,147.95734,8.873694
Libya,LBY,2019,Africa,6951040.0,14337.196,898.4062,1.1559094
Lithuania,LTU,2019,Europe,2795057.0,43078.71,2815.934,0.3942298
Luxembourg,LUX,2019,Europe,620167.0,132724.75,6700.6694,0.2403051
Madagascar,MDG,2019,Africa,28219559.0,1707.8315,50.002083,6.5011544
Malawi,MWI,2019,Africa,19025748.0,1687.2894,92.14736,5.129385
Malaysia,MYS,2019,Asia,33440590.0,31300.508,1111.0371,0.8195029
Maldives,MDV,2019,Asia,487737.0,21855.502,1731.3396,0.7400649
Mali,MLI,2019,Africa,21068405.0,2916.1716,91.125145,9.189007
Malta,MLT,2019,Europe,504017.0,53393.42,4671.7324,0.6114396
Marshall Islands,MHL,2019,Oceania,44030.0,6405.8965,785.8104,3.1225092
Mauritania,MRT,2019,Africa,4467714.0,6162.2104,173.45186,4.337833
Mauritius,MUS,2019,Africa,1286269.0,25958.49,1346.7844,1.570054
Mexico,MEX,2019,North America,125762978.0,21704.186,1111.3888,1.4967914
Micronesia (country),FSM,2019,Oceania,110293.0,3965.0537,391.60318,2.6383302
